key,old_cost,cost,savings,production,consumption,purchased,purchased_without_boost,feed_in
2023-05,136.3679296433333,-13.222054839999949,149.58998448333324,486499.99999999994,327183.3333333331,135703.3333333333,62413.33333333334,267579.1666666671
2023-06,307.5530738333327,4.903689176668664,302.64938465666404,944316.6666666707,723018.3333333334,312248.3333333328,120125.83333333301,449183.3333333339
2023-07,356.86753980666657,103.29060488000056,253.576934926666,741866.6666666678,887194.1666666686,510244.9999999995,321900.00000000023,304699.16666666616
2023-08,361.9083905033316,112.29978828666702,249.60860221666456,703366.6666666691,924936.6666666658,514099.1666666645,288191.6666666673,209213.33333333372
2023-09,384.96975230999954,188.43914962666676,196.53060268333277,528733.3333333324,974453.3333333334,668121.6666666666,462429.9999999996,171549.16666666692
2023-10,593.0642617700017,470.73734402666827,122.32691774333347,284550.0000000005,1504702.499999998,1299532.5000000023,1055863.333333332,31076.66666666659
2023-11,806.6361691066601,749.8852585199999,56.75091058666021,131033.33333333311,2102445.833333334,2019181.6666666616,1752811.666666665,1757.4999999999968
2023-12,862.0790648866653,820.3710394166707,41.708025469994595,89699.99999999988,2206055.833333342,2158316.666666668,1923518.3333333356,818.3333333333339
2024-01,950.287783586667,895.3931083100015,54.894675276665566,106724.99999999977,2447276.6666666633,2364905.8333333237,2103902.499999994,1349.9999999999998
2024-02,742.1737587666663,644.0285437366687,98.14521502999764,219958.33333333337,1878385.8333333365,1700591.6666666635,1500449.166666664,8409.166666666666
2024-03,702.8537738399999,536.3564360300015,166.49733780999838,422833.3333333331,1746331.6666666593,1440690.8333333314,1244353.3333333337,63223.33333333337
